Filename,Categories
mp3_to_mp4.py,general
ytube.py,data_processing
fdupes.py,data_processing
gpt-all.py,"api, data_processing"
mp3-mp4-coverimg.py,general
imgconvert copy.py,general
YTdownloadthumb.py,"api, data_processing"
universe4.py,"api, automation"
sort copy.py,general
pdf2img.py,general
test copy.py,error
generate_speech.py,error
sort2.py,general
merge_markdown.py,general
text.py,general
dthumb2.py,"api, data_processing"
upscaleuploadimages.py,"api, data_processing"
imgconvert.py,general
move.py,automation
midj.py,general
cover2.py,api
converts.py,general
pydoc-analyze.py,"api, automation"
1500-cutout-orn-process.py,data_processing
youtube2.py,data_processing
audio.py,data_processing
upscale 2 copy.py,"api, automation"
motion-upload copy.py,"api, automation"
motion-upload 3.py,"api, automation"
errors.py,general
magickbg.py,automation
idt copy.py,data_processing
copy_my.py,data_processing
web-png-upscale copy.py,general
upscale2.py,general
audiototext.py,error
fancyimg.py,"api, data_processing"
Quiz22sec.py,"api, data_processing"
speech.py,error
dallecsv.py,data_processing
img2img copy.py,general
convert-loop2 2.py,error
import os.py,general
main.py,error
Mp3toMp4ximg.py,general
pods2.py,general
img-img-upscale.py,general
pipgen.py,automation
9mb.py,general
batch.py.bak.py,api
8mb.py,general
backup_installations.py,"data_processing, automation"
quiz-time.py,"api, data_processing"
re_custom.py,error
organize_files.py,general
backupcsv.py,"data_processing, automation"
mp4tomp3.py,automation
up-down-mp4.py,general
gpt4.py,"api, data_processing"
sora.py,api
loop-upscale copy 2.py,"api, automation"
category.py,general
motion-upload 2.py,"api, automation"
yt-dalle-prompt.py,"api, data_processing"
imgconvert_colab copy.py,general
check-python.py,automation
autofix.py,automation
imgupscale copy.py,general
img-prompt.py,data_processing
pods.py,general
downsize.py,general
upscale3.py,general
speek.py,general
curl.py,"data_processing, automation"
curld.py,"data_processing, automation"
2leomotion.py,"api, automation"
__init__.py,general
generate_speech.py,"api, data_processing"
main.py,data_processing
quiz-tts.py,data_processing
speak.py,"api, data_processing"
trek.py,"api, data_processing"
test.py,data_processing
generate_speech.py,data_processing
speech.py,data_processing
main.py,data_processing
trek.py,"api, data_processing"
quiz-tts.py,data_processing
transcribe.py,api
analyze.py,api
import.py,error
upcreatmod.py,"api, data_processing"
test.py,"api, data_processing"
uploadimages.py,error
2.0.py,"api, data_processing"
createimages.py,"api, data_processing"
toc-merge.py,general
merge-pdfs.py,general
toc-mark.py,general
bookmarks.py,general
tocpdf.py,general
config.py,general
main.py,general
videogenerator.py,error
textgenerator.py,general
config.py,general
dbl.py,data_processing
cleanup2.py,data_processing
doubles.py,data_processing
docs.py,data_processing
other.py,data_processing
cleanup.py,data_processing
img.py,data_processing
vids.py,data_processing
dups.py,general
audio.py,data_processing
dupes.py,data_processing
dblsort.py,data_processing
sorts.py,data_processing
config.py,general
organize.py,data_processing
docs.py,data_processing
other.py,data_processing
img.py,data_processing
vids.py,data_processing
audio.py,data_processing
create_video.py,general
transcribe.py,api
analyze.py,api
scan_images_individual.py,general
imove.py,data_processing
scancsv.py,data_processing
sort.py,general
sort copy.py,general
scan.py,general
CreateVideo.py,general
GenerateTexts.py,general
upload_video.py,automation
audio.py,general
main.py,multimedia
error.py,general
debug.py,general
octets.py,general
integer.py,general
streaming.py,general
decoder.py,general
__init__.py,general
encoder.py,general
decoder.py,general
__init__.py,general
anyio.py,general
__init__.py,general
trio.py,general
base.py,automation
auto.py,general
mock.py,general
backcall.py,general
pulldom.py,general
expatbuilder.py,general
xmlrpc.py,general
cElementTree.py,general
sax.py,general
lxml.py,general
common.py,general
minidom.py,general
expatreader.py,general
ElementTree.py,general
convert.py,general
rwbase.py,general
nbbase.py,general
nbjson.py,general
__init__.py,general
words.py,general
test_words.py,general
__init__.py,general
convert.py,general
rwbase.py,general
nbbase.py,general
nbjson.py,general
nbpy.py,general
nbxml.py,general
test_cases.py,general
toc.py,general
admonition.py,general
include.py,general
image.py,general
html.py,general
__init__.py,general
markdown.py,general
rst.py,general
task_lists.py,general
abbr.py,general
spoiler.py,general
ruby.py,general
formatting.py,general
url.py,general
table.py,general
math.py,general
footnotes.py,general
speedup.py,general
def_list.py,general
setters.py,general
validators.py,general
exceptions.py,general
converters.py,general
filters.py,general
__init__.py,general
inject_meta_charset.py,general
__init__.py,general
base.py,general
alphabeticalattributes.py,general
lint.py,general
whitespace.py,general
etree_lxml.py,general
etree.py,general
genshi.py,general
dom.py,general
py.py,general
sax.py,general
genshi.py,general
sas.py,general
material.py,general
friendly_grayscale.py,general
pastie.py,general
onedark.py,general
inkpot.py,general
xcode.py,general
gruvbox.py,general
monokai.py,general
friendly.py,general
staroffice.py,general
paraiso_dark.py,general
solarized.py,general
algol_nu.py,general
gh_dark.py,general
native.py,general
colorful.py,general
lilypond.py,general
igor.py,general
zenburn.py,general
bw.py,general
emacs.py,general
dracula.py,general
vs.py,general
default.py,general
paraiso_light.py,general
lovelace.py,general
stata_dark.py,general
vim.py,general
borland.py,general
murphy.py,general
lightbulb.py,general
fruity.py,general
abap.py,general
rainbow_dash.py,general
manni.py,general
autumn.py,general
rrt.py,general
perldoc.py,general
trac.py,general
algol.py,general
arduino.py,general
nord.py,general
stata_light.py,general
version.py,general
utils.py,automation
my_getattr_static.py,general
serializing.py,general
version.py,general
utils.py,general
conftest.py,general
paths.py,general
display.py,general
consoleapp.py,general
daft_extension.py,general
__init__.py,general
custom_doctests.py,data_processing
ipython_console_highlighting.py,general
glut.py,automation
gtk.py,general
gtk3.py,general
asyncio.py,general
qt.py,general
tk.py,automation
gtk4.py,general
pyglet.py,automation
osx.py,general
test_pt_inputhooks.py,general
test_debug_magic.py,general
__init__.py,general
test_embed.py,automation
test_help.py,general
test_pycolorize.py,general
test_decorators.py,general
test_tempdir.py,general
test_importstring.py,general
test_imports.py,general
__init__.py,general
test_dir2.py,general
test_io.py,general
test_deprecated.py,general
test_process.py,automation
test_sysinfo.py,general
test_tokenutil.py,general
test_openpy.py,general
test_capture.py,general
test_module_paths.py,general
test_shimmodule.py,general
test_wildcard.py,general
__init__.py,general
test_storemagic.py,general
skipdoctest.py,general
globalipapp.py,general
ipunittest.py,general
decorators.py,general
test_ipunittest.py,general
test_decorators.py,general
test_tools.py,general
test_ipdoctest.py,general
dtexample.py,general
__init__.py,general
test_refs.py,general
setup.py,general
simplevars.py,general
simple.py,general
qt_for_kernel.py,general
test_qt_loaders.py,general
__init__.py,general
client.py,general
client.py,general
forward.py,general
restarter.py,automation
manager.py,general
base.py,general
ratelimiter.py,automation
lang.py,general
version.py,general
langs.py,general
tts.py,api
cli.py,general
utils.py,general
accents.py,general
symbols.py,general
tokenizer_cases.py,general
pre_processors.py,general
test_tokenizer_cases.py,general
test_pre_processors.py,general
test_core.py,general
test_utils.py,general
test_tts.py,general
test_lang.py,general
__init__.py,general
test_cli.py,general
retrieval.py,general
exceptions.py,general
typing.py,general
test_retrieval.py,general
test_exceptions.py,general
__init__.py,general
test_referencing_suite.py,general
cache.py,automation
common.py,general
utils.py,general
debug.py,automation
settings.py,general
file_io.py,general
test_release.py,general
test_package.py,general
test_exceptions.py,general
__init__.py,general
test_client.py,general
config.py,automation
version.py,general
compat.py,general
tools.py,automation
config_defaults.py,general
utils.py,general
editor.py,general
decorators.py,general
__init__.py,general
even_size.py,general
supersample.py,data_processing
time_mirror.py,general
gamma_corr.py,general
lum_contrast.py,general
mask_color.py,data_processing
blackwhite.py,data_processing
headblur.py,data_processing
make_loopable.py,general
scroll.py,general
mirror_x.py,general
accel_decel.py,general
blink.py,general
mirror_y.py,general
speedx.py,general
fadein.py,data_processing
margin.py,data_processing
crop.py,general
colorx.py,data_processing
resize.py,data_processing
time_symmetrize.py,general
freeze_region.py,general
invert_colors.py,general
loop.py,general
painting.py,data_processing
freeze.py,general
mask_or.py,data_processing
rotate.py,data_processing
fadeout.py,data_processing
mask_and.py,data_processing
concatenate.py,data_processing
positioning.py,general
on_color.py,general
__init__.py,general
CompositeVideoClip.py,data_processing
transitions.py,general
__init__.py,general
cuts.py,data_processing
volumex.py,general
audio_normalize.py,general
audio_loop.py,general
audio_fadein.py,data_processing
__init__.py,general
audio_fadeout.py,data_processing
audio_left_right.py,data_processing
preview.py,"data_processing, automation"
AudioFileClip.py,general
ffmpeg_audiowriter.py,automation
release.py,general
client.py,api
exceptions.py,general
parse.py,api
util.py,general
jsonutil.py,general
exceptions.py,general
output_widget.py,general
test_ccompiler_opt_conf.py,general
test_mingw32ccompiler.py,automation
test_from_template.py,general
__init__.py,general
test_log.py,general
test_fcompiler_intel.py,general
test_misc_util.py,general
test_fcompiler.py,general
test_build_ext.py,automation
test_shell_utils.py,automation
test_npy_pkg_config.py,general
test_fcompiler_nagfor.py,general
test_fcompiler_gnu.py,general
compaq.py,general
intel.py,general
none.py,general
nag.py,general
pg.py,general
ibm.py,automation
sun.py,general
nv.py,general
lahey.py,general
g95.py,general
arm.py,general
mips.py,general
hpux.py,general
environment.py,general
pathf95.py,general
fujitsu.py,general
absoft.py,general
vast.py,general
py3k.py,general
setup.py,general
__init__.py,general
test_compat.py,general
setup.py,data_processing
setup.py,data_processing
test_deprecations.py,data_processing
__init__.py,general
test_regression.py,data_processing
umath.py,general
_dtype.py,general
_internal.py,general
multiarray.py,general
__init__.py,general
_dtype_ctypes.py,general
_multiarray_umath.py,general
test_pyinstaller.py,automation
__init__.py,general
hook-numpy.py,general
pyinstaller-smoke.py,data_processing
test_indexing_functions.py,general
test_set_functions.py,general
test_validation.py,general
test_data_type_functions.py,data_processing
test_elementwise_functions.py,general
__init__.py,general
test_manipulation_functions.py,data_processing
test_sorting_functions.py,general
test_creation_functions.py,data_processing
__init__.py,general
mypy_plugin.py,data_processing
setup.py,general
test_isfile.py,data_processing
test_runtime.py,data_processing
__init__.py,general
fromnumeric.py,data_processing
ndarray_conversion.py,data_processing
literal.py,data_processing
comparisons.py,data_processing
multiarray.py,data_processing
array_constructors.py,data_processing
dtype.py,data_processing
ndarray_misc.py,data_processing
ndarray_shape_manipulation.py,data_processing
ufuncs.py,data_processing
ufunc_config.py,data_processing
simple_py3.py,data_processing
index_tricks.py,data_processing
warnings_and_errors.py,data_processing
arrayterator.py,data_processing
numeric.py,data_processing
lib_utils.py,data_processing
modules.py,data_processing
einsumfunc.py,data_processing
lib_version.py,general
scalars.py,data_processing
array_like.py,data_processing
simple.py,data_processing
flatiter.py,data_processing
numerictypes.py,data_processing
mod.py,data_processing
arrayprint.py,data_processing
ufunclike.py,data_processing
bitwise_ops.py,data_processing
_backend.py,general
__init__.py,general
_distutils.py,general
__init__.py,general
overrides.py,general
setup.py,general
print_coercion_tables.py,data_processing
__init__.py,general
__init__.py,general
test_helper.py,data_processing
__init__.py,general
ufuncs.py,general
__init__.py,general
parse.py,general
extending.py,data_processing
extending.py,data_processing
extending_distributions.py,data_processing
__init__.py,general
setup.py,general
_version.py,general
__init__.py,general
__init__.py,general
_streams.py,general
_tasks.py,general
__init__.py,general
_testing.py,general
_sockets.py,general
_resources.py,general
_subprocesses.py,general
__init__.py,general
__pip-runner__.py,general
__main__.py,general
selection_prefs.py,general
index.py,general
target_python.py,general
__init__.py,general
search_scope.py,general
candidate.py,general
format_control.py,general
installation_report.py,general
scheme.py,general
wheel.py,general
__init__.py,general
editable_legacy.py,general
__init__.py,general
wheel_legacy.py,general
metadata.py,general
metadata_editable.py,general
wheel_editable.py,general
__init__.py,general
metadata_legacy.py,general
wheel.py,general
build_tracker.py,general
__init__.py,general
base.py,general
__init__.py,general
_distutils.py,general
base.py,general
_json.py,general
__init__.py,general
__init__.py,general
sdist.py,general
installed.py,general
base.py,general
wheel.py,general
__init__.py,general
exceptions.py,general
ext.py,general
__init__.py,general
chardetect.py,general
__init__.py,general
__init__.py,general
__init__.py,general
__main__.py,general
__init__.py,general
win32.py,general
ansi.py,general
initialise.py,general
isatty_test.py,general
initialise_test.py,general
__init__.py,general
ansi_test.py,general
utils.py,general
winterm_test.py,general
wrapper.py,api
filewrapper.py,general
heuristics.py,automation
adapter.py,general
cache.py,general
__init__.py,general
_cmd.py,api
file_cache.py,general
__init__.py,general
redis_cache.py,general
_types.py,general
__init__.py,general
_re.py,automation
__init__.py,general
core.py,general
__main__.py,general
__init__.py,general
_compat.py,general
__init__.py,general
__init__.py,general
__init__.py,general
makefile.py,general
weakref_finalize.py,general
__init__.py,general
providers.py,general
structs.py,general
reporters.py,general
__init__.py,general
collections_abc.py,general
__init__.py,general
__init__.py,general
caresresolver.py,general
twisted.py,general
asgi.py,general
__init__.py,general
base.py,general
mock.py,general
wsgi.py,general
__init__.py,general
core.py,general
__main__.py,general
__init__.py,general
cli.py,general
utils.py,general
base.py,general
__init__.py,general
base.py,general
deduplicate.py,general
filesystem.py,general
__init__.py,general
word_completer.py,general
nested.py,general
__init__.py,general
system.py,general
__init__.py,general
completion.py,general
__init__.py,general
lexer.py,general
validation.py,general
server.py,general
__init__.py,general
log.py,general
protocol.py,general
__init__.py,general
__init__.py,general
pygments.py,general
html.py,general
__init__.py,general
utils.py,general
base.py,general
__init__.py,general
win32.py,general
async_generator.py,general
utils.py,automation
inputhook.py,general
run_in_terminal.py,general
__init__.py,general
current.py,general
dummy.py,general
pyperclip.py,general
__init__.py,general
base.py,general
in_memory.py,general
_impl.py,general
_version.py,general
__init__.py,general
test_sniffio.py,general
__init__.py,general
validator_creation.py,general
unused_registry.py,general
issue232.py,general
__init__.py,general
json_schema_test_suite.py,general
contains.py,general
subcomponents.py,general
nested_schemas.py,general
logging.py,general
concurrent.py,general
bells.py,general
telegram.py,general
discord.py,general
__init__.py,data_processing
slack.py,general
itertools.py,general
utils_worker.py,general
util.py,general
_fork_pty.py,general
__init__.py,general
signals.py,general
models.py,general
apps.py,general
site.py,general
storage.py,general
decorators.py,general
__init__.py,general
conftest.py,general
_version.py,general
__init__.py,general
__main__.py,general
regexremove.py,general
clearmetadata.py,general
execute.py,general
csshtmlheader.py,general
extractoutput.py,general
__init__.py,general
extractattachments.py,general
coalescestreams.py,general
latex.py,general
highlightmagics.py,general
sanitize.py,general
tagremove.py,general
convertfigures.py,general
base.py,general
clearoutput.py,general
svg2pdf.py,automation
files.py,general
__init__.py,general
debug.py,general
stdout.py,general
base.py,general
__init__.py,general
__init__.py,general
serve.py,general
base.py,general
version.py,general
iso639_1.py,general
pandoc.py,automation
io.py,general
__init__.py,general
text.py,general
exceptions.py,general
_contextlib_chdir.py,general
base.py,general
lexers.py,general
__init__.py,general
_core.py,general
__init__.py,general
test_jsonschema_specifications.py,general
__init__.py,general
context.py,automation
_meta.py,general
_text.py,general
_functools.py,general
_collections.py,general
_itertools.py,general
_adapters.py,general
_compat.py,general
__init__.py,general
readers.py,general
_common.py,general
__init__.py,general
_itertools.py,general
_adapters.py,general
_compat.py,general
_legacy.py,general
simple.py,general
abc.py,general
_types.py,general
__init__.py,general
_re.py,automation
__init__.py,general
__init__.py,general
__init__.py,general
context.py,automation
__init__.py,general
readers.py,general
_common.py,general
__init__.py,general
_itertools.py,general
_adapters.py,general
_compat.py,general
_legacy.py,general
simple.py,general
abc.py,general
__init__.py,general
__init__.py,general
override.py,general
__init__.py,general
grammar_parser.py,general
_loader.py,general
__init__.py,general
_schema_validator.py,general
_version.py,general
log.py,general
__init__.py,general
test_traitlets.py,general
__init__.py,general
utils.py,general
bunch.py,general
getargspec.py,general
warnings.py,general
__init__.py,general
text.py,general
nested_update.py,general
importstring.py,general
sentinel.py,general
descriptions.py,general
decorators.py,general
_typing.py,general
error.py,general
asyncio.py,general
__init__.py,general
decorators.py,general
device.py,general
__init__.py,general
poll.py,general
__init__.py,general
ioloop.py,general
zmqstream.py,general
version.py,general
attrsettr.py,general
__init__.py,general
stopwatch.py,automation
frame.py,general
tracker.py,automation
poll.py,general
thread.py,general
certs.py,general
asyncio.py,general
__init__.py,general
ioloop.py,general
strtypes.py,general
monitor.py,general
__init__.py,general
win32.py,general
interop.py,general
jsonapi.py,general
z85.py,general
garbage.py,general
__init__.py,general
select.py,general
_poll.py,general
error.py,general
__init__.py,general
message.py,general
context.py,general
utils.py,general
devices.py,general
__init__.py,general
forward.py,general
_deprecated.py,automation
__init__.py,general
ioloop.py,general
future.py,general
__init__.py,general
__main__.py,general
monitoredqueue.py,general
__init__.py,general
monitoredqueuedevice.py,general
proxydevice.py,general
proxysteerabledevice.py,general
__init__.py,general
rebuild.py,general
__init__.py,general
model_deleted.py,general
moderation_create_params.py,general
completion.py,general
embedding.py,general
file_create_params.py,general
moderation.py,general
__init__.py,general
embedding_create_params.py,general
completion_choice.py,general
image_generate_params.py,general
model.py,general
file_deleted.py,general
file_list_params.py,general
create_embedding_response.py,general
file_content.py,general
images_response.py,general
completion_usage.py,general
moderation_create_response.py,general
image_edit_params.py,general
image.py,general
image_create_variation_params.py,general
file_object.py,general
assistant_tool_param.py,general
assistant_list_params.py,general
assistant_stream_event.py,general
code_interpreter_tool_param.py,general
function_tool_param.py,general
thread.py,general
thread_update_params.py,general
thread_deleted.py,general
thread_create_params.py,general
assistant.py,general
assistant_deleted.py,general
__init__.py,general
retrieval_tool.py,general
code_interpreter_tool.py,general
retrieval_tool_param.py,general
assistant_tool.py,general
function_tool.py,general
assistant_create_params.py,general
assistant_update_params.py,general
thread_create_and_run_params.py,general
__init__.py,general
file_create_params.py,general
__init__.py,general
file_list_params.py,general
file_delete_response.py,general
assistant_file.py,general
text_delta.py,general
run_status.py,general
message_content_delta.py,general
run.py,general
annotation.py,general
message_update_params.py,general
file_citation_delta_annotation.py,general
message_delta.py,general
run_create_params.py,general
run_submit_tool_outputs_params.py,general
message_list_params.py,general
run_update_params.py,general
message_delta_event.py,general
text_content_block.py,general
__init__.py,general
annotation_delta.py,general
message.py,general
message_create_params.py,general
file_path_delta_annotation.py,general
image_file_content_block.py,general
image_file_delta_block.py,general
image_file.py,general
file_citation_annotation.py,general
text.py,general
required_action_function_tool_call.py,general
image_file_delta.py,general
message_content.py,general
text_delta_block.py,general
file_path_annotation.py,general
run_list_params.py,general
__init__.py,general
file_list_params.py,general
message_file.py,general
run_step_delta_event.py,general
retrieval_tool_call_delta.py,general
step_list_params.py,general
tool_call_delta_object.py,general
function_tool_call.py,general
run_step.py,general
__init__.py,general
tool_calls_step_details.py,general
retrieval_tool_call.py,general
tool_call_delta.py,general
code_interpreter_tool_call_delta.py,general
code_interpreter_output_image.py,general
tool_call.py,general
run_step_delta.py,general
code_interpreter_tool_call.py,general
code_interpreter_logs.py,general
message_creation_step_details.py,general
run_step_delta_message_delta.py,general
function_tool_call_delta.py,general
fine_tuning_job.py,general
job_create_params.py,general
job_list_params.py,general
__init__.py,general
fine_tuning_job_event.py,general
job_list_events_params.py,general
chat_completion_user_message_param.py,general
chat_completion_role.py,general
chat_completion_message.py,general
chat_completion_message_tool_call_param.py,general
chat_completion_content_part_param.py,general
chat_completion.py,general
chat_completion_message_param.py,general
chat_completion_function_call_option_param.py,general
chat_completion_chunk.py,general
chat_completion_token_logprob.py,general
__init__.py,general
chat_completion_assistant_message_param.py,general
chat_completion_tool_choice_option_param.py,general
chat_completion_function_message_param.py,general
chat_completion_content_part_text_param.py,general
chat_completion_content_part_image_param.py,general
chat_completion_tool_param.py,general
chat_completion_tool_message_param.py,general
chat_completion_named_tool_choice_param.py,general
chat_completion_message_tool_call.py,general
chat_completion_system_message_param.py,general
error_object.py,general
__init__.py,general
function_definition.py,general
function_parameters.py,general
__init__.py,general
function_definition.py,general
function_parameters.py,general
transcription.py,general
__init__.py,general
translation.py,general
translation_create_params.py,general
speech_create_params.py,general
transcription_create_params.py,general
_common.py,general
__init__.py,data_processing
numpy_proxy.py,data_processing
pandas_proxy.py,data_processing
beta.py,general
__init__.py,general
__init__.py,general
__init__.py,general
__init__.py,general
fine_tuning.py,general
__init__.py,general
__init__.py,general
chat.py,general
_errors.py,general
_cli.py,error
__init__.py,general
_models.py,general
_progress.py,general
_utils.py,api
files.py,general
models.py,general
_main.py,multimedia
__init__.py,general
completions.py,general
audio.py,general
image.py,general
__init__.py,general
completions.py,general
_main.py,general
fine_tunes.py,general
__init__.py,general
migrate.py,automation
_old_api.py,general
__init__.py,general
version.py,general
__init__.py,general
config.py,general
organize.py,data_processing
docs.py,data_processing
other.py,data_processing
img.py,data_processing
vids.py,data_processing
audio.py,data_processing
tag.py,data_processing
config.py,general
main.py,general
videogenerator.py,general
textgenerator.py,api
motion-upload.py,"api, automation"
imgmp4.py,general
motion-upload copy.py,"api, automation"
motion-upload 2.py,"api, automation"
leonardo_script copy 2.py,error
myinfo.py,api
leonardo_script 2.py,error
leo-ups.py,error
mywork.py,"api, data_processing"
motion-upload.py,"api, automation"
leoimg.py,api
2leomotion.py,"api, automation"
leocsv.py,error
leoup.py,"api, automation"
motion-upload copy.py,"api, automation"
leonardo_script copy.py,error
leonardo2.py,error
motion-upload 2.py,"api, automation"
leonardo_script.py,error
create_video.py,general
transcribe.py,api
analyze.py,api
create_video.py,general
transcribe.py,api
analyze.py,api
cover.py,api
imgmp4.py,general
cover2.py,api
y.py,general
ythumb.py,"api, data_processing"
YTubeDLthumbs.py,"api, data_processing"
ytube.py,data_processing
YTdownloadthumb copy.py,"api, data_processing"
YTdownloadthumb.py,"api, data_processing"
yt-upload.py,data_processing
ythumb copy.py,"api, data_processing"
youtube2.py,data_processing
YTubeDLthumbs copy.py,"api, data_processing"
mp4-trans.py,"api, automation"
test.py,api
transcribe.py,api
analyze.py,error
__init__.py,general
__pip-runner__.py,general
__main__.py,general
pyproject.py,general
__init__.py,general
main.py,general
self_outdated_check.py,general
xmlrpc.py,general
download.py,general
cache.py,general
__init__.py,general
utils.py,general
lazy_wheel.py,general
egg_link.py,general
compat.py,general
encoding.py,general
models.py,general
deprecation.py,general
subprocess.py,automation
filesystem.py,general
direct_url_helpers.py,general
__init__.py,general
_jaraco_text.py,general
temp_dir.py,general
appdirs.py,general
setuptools_build.py,general
packaging.py,general
entrypoints.py,general
filetypes.py,general
compatibility_tags.py,general
datetime.py,general
urls.py,general
hashes.py,general
virtualenv.py,general
_log.py,general
glibc.py,general
wheel.py,general
unpacking.py,general
selection_prefs.py,general
direct_url.py,general
index.py,general
target_python.py,general
__init__.py,general
search_scope.py,general
candidate.py,general
format_control.py,general
installation_report.py,general
scheme.py,general
wheel.py,general
__init__.py,general
status_codes.py,general
command_context.py,general
spinners.py,automation
autocompletion.py,general
base_command.py,general
main_parser.py,automation
progress_bars.py,general
main.py,general
check.py,general
__init__.py,general
freeze.py,general
editable_legacy.py,general
__init__.py,general
wheel_legacy.py,general
metadata.py,general
metadata_editable.py,general
wheel_editable.py,general
__init__.py,general
metadata_legacy.py,general
wheel.py,general
build_tracker.py,general
req_set.py,general
req_uninstall.py,general
__init__.py,general
__init__.py,general
base.py,general
__init__.py,general
provider.py,general
found_candidates.py,general
reporter.py,general
__init__.py,general
requirements.py,general
candidates.py,general
base.py,general
__init__.py,general
mercurial.py,general
bazaar.py,general
_sysconfig.py,general
_distutils.py,general
base.py,general
collector.py,api
__init__.py,general
sources.py,general
configuration.py,automation
show.py,general
check.py,general
index.py,general
completion.py,general
download.py,general
cache.py,general
__init__.py,general
hash.py,general
inspect.py,general
debug.py,general
uninstall.py,general
freeze.py,general
search.py,general
help.py,general
wheel.py,general
_json.py,general
__init__.py,general
pkg_resources.py,general
_dists.py,general
__init__.py,general
_compat.py,general
_envs.py,general
__init__.py,general
sdist.py,general
installed.py,general
base.py,general
wheel.py,general
__init__.py,general
_musllinux.py,automation
__init__.py,general
utils.py,general
requirements.py,general
_structures.py,general
markers.py,general
__about__.py,general
_openssl.py,general
_api.py,general
__init__.py,general
_ssl_constants.py,general
__init__.py,general
exceptions.py,general
ext.py,general
resultdict.py,general
enums.py,general
version.py,general
utf1632prober.py,general
euckrprober.py,general
sjisprober.py,general
cp949prober.py,general
__init__.py,general
chardistribution.py,general
latin1prober.py,general
charsetprober.py,general
gb2312prober.py,general
mbcharsetprober.py,general
euctwprober.py,general
codingstatemachine.py,general
escprober.py,general
utf8prober.py,general
mbcsgroupprober.py,general
eucjpprober.py,general
sbcharsetprober.py,general
codingstatemachinedict.py,general
big5prober.py,general
johabprober.py,general
macromanprober.py,general
charsetgroupprober.py,general
sbcsgroupprober.py,general
__init__.py,general
chardetect.py,general
__init__.py,general
labels.py,general
mklabels.py,general
x_user_defined.py,general
tests.py,general
modeline.py,general
console.py,general
scanner.py,general
formatter.py,general
token.py,general
style.py,general
util.py,general
sphinxext.py,general
__init__.py,general
regexopt.py,general
plugin.py,general
filter.py,general
__main__.py,general
terminal.py,general
irc.py,general
__init__.py,general
other.py,general
rtf.py,general
svg.py,general
bbcode.py,general
pangomarkup.py,general
_mapping.py,general
groff.py,general
__init__.py,general
__init__.py,general
